0,1,2,3,4,5
Ranking,Name,Followers 15/11/2022,Potential earnings per post,Team,Club
1.,Cristiano Ronaldo,496585283,"$4,965,853",Portugal,Manchester United
2.,Lionel Messi,373193075,"$3,731,931",Argentina,Paris Saint-Germain
3.,Neymar,181891522,"$1,818,915",Brazil,Paris Saint-Germain
4.,Kylian Mbappé,73297205,"$732,972",France,Paris Saint-Germain
5.,Karim Benzema,60529801,"$605,298",France,Real Madrid
6.,Paulo Dybala,49426812,"$494,268",Argentina,Roma
7.,Gareth Bale,48434516,"$484,345",Wales,Los Angeles FC
8.,Luis Suárez,44529288,"$445,293",Uruguay,Nacional
9.,Dani Alves,37489601,"$374,896",Brazil,UNAM
10.,Antoine Griezmann,36962770,"$369,628",France,Atlético Madrid
11.,Robert Lewandowski,30860141,"$308,601",Poland,Barcelona
12.,Eden Hazard,27158655,"$271,587",Belgium,Real Madrid CF
13.,Luka Modrić,25667883,"$256,679",Croatia,Real Madrid
14.,Vinícius Júnior,24398140,"$243,981",Brazil,Real Madrid
15.,Thiago Silva,20125113,"$201,251",Brazil,Chelsea
16.,Raphaël Varane,20017926,"$200,179",France,Manchester United
17.,Kevin De Bruyne,19503335,"$195,033",Belgium,Manchester City F.C.
18.,Gabriel Jesus,19301327,"$193,013",Brazil,Arsenal
19.,Ángel Di María,18807205,"$188,072",Argentina,Juventus
20.,Álvaro Morata,18462918,"$184,629",Spain,Atlético Madrid
21.,Casemiro,17967679,"$179,677",Brazil,Manchester United
22.,Memphis Depay,15882299,"$158,823",Netherlands,Barcelona
23.,Jordi Alba,14837048,"$148,370",Spain,Barcelona
24.,Marco Asensio,14721042,"$147,210",Spain,Real Madrid
25.,Marc-André ter Stegen,13725601,"$137,256",Germany,Barcelona
