0,1,2,3
Ranking,Team,SUM of followers 15/11/2022,Potential earnings per post
1.,Portugal,543105857,"$5,431,059"
2.,Argentina,489022224,"$4,890,222"
3.,Brazil,377900137,"$3,779,001"
4.,France,232218471,"$2,322,185"
5.,Spain,102041802,"$1,020,418"
6.,Uruguay,88859392,"$888,594"
7.,England,88369642,"$883,696"
8.,Germany,85827579,"$858,276"
9.,Belgium,80423265,"$804,233"
10.,Netherlands,59063110,"$590,631"
11.,Wales,57177448,"$571,774"
12.,Poland,40287108,"$402,871"
13.,Croatia,37543986,"$375,440"
14.,IR Iran,37498142,"$374,981"
15.,Morocco,33149736,"$331,497"
16.,Senegal,24872109,"$248,721"
17.,Mexico,19657393,"$196,574"
18.,USA,12334674,"$123,347"
19.,Denmark,12321088,"$123,211"
20.,Saudi Arabia,10503292,"$105,033"
21.,Korea Republic,10355022,"$103,550"
22.,Serbia,9214046,"$92,140"
23.,Switzerland,9081286,"$90,813"
24.,Tunisia,8297606,"$82,976"
25.,Japan,6881074,"$68,811"
26.,Canada,6849335,"$68,493"
27.,Ecuador,5098832,"$50,988"
28.,Cameroon,4277240,"$42,772"
29.,Ghana,3605945,"$36,059"
30.,Qatar,2811931,"$28,119"
31.,Costa Rica,2368181,"$23,682"
32.,Australia,1301463,"$13,015"
