No.,Team,Cross,Corner,Throughball,Freekick,Throwin,Other,Total,Rating
1.,France,0.7,0,0.1,0,0,0.9,1.7,6.90
2.,England,0.6,0,0,0,0,1.6,2.2,6.89
3.,Netherlands,0.6,0,0,0.2,0,0.8,1.6,6.73
4.,Brazil,0,0,0.2,0,0,0.8,1,6.72
5.,Argentina,0.1,0,0.1,0,0,0.9,1.1,6.71
6.,Germany,0.7,0,0,0,0,1,1.7,6.70
7.,Spain,0.5,0,0.3,0,0,0.5,1.3,6.69
8.,Portugal,0.2,0.2,0.2,0,0,1.4,1.8,6.67
9.,Cameroon,0.3,0,0.3,0,0,0.3,1,6.67
10.,Croatia,0.3,0,0.1,0,0,0.6,1,6.63
11.,Tunisia,0,0,0,0,0,0.3,0.3,6.60
12.,Poland,0,0,0,0,0,0.3,0.3,6.59
13.,Uruguay,0,0,0,0,0,0.3,0.3,6.59
14.,Belgium,0,0,0.3,0,0,0,0.3,6.58
15.,Morocco,0.3,0,0.1,0.1,0,0.1,0.6,6.53
16.,USA,0,0,0.3,0,0,0.5,0.8,6.53
17.,Ecuador,0.3,0,0,0,0,0.3,0.7,6.52
18.,Mexico,0,0,0,0,0,0.3,0.3,6.52
19.,Japan,0,0,0,0.3,0,0.8,1,6.51
20.,Denmark,0,0,0,0,0,0.3,0.3,6.50
21.,South-Korea,0.5,0,0.3,0,0,0,0.8,6.50
22.,Senegal,0.3,0.3,0,0,0,0.3,0.5,6.48
23.,Iran,0,0,0.3,0,0,0.3,0.7,6.47
24.,Ghana,0.3,0,0,0,0,0.3,0.7,6.45
25.,Australia,0,0,0,0,0,0.5,0.5,6.45
26.,Saudi-Arabia,0,0,0,0,0,0.7,0.7,6.42
27.,Serbia,0.3,0,0,0.3,0,0.7,1.3,6.42
28.,Switzerland,0,0,0,0,0,1,1,6.35
29.,Costa-Rica,0,0,0,0,0,0.3,0.3,6.26
30.,Wales,0,0,0,0,0,0,0,6.25
31.,Canada,0.3,0,0,0,0,0,0.3,6.21
32.,Qatar,0.3,0,0,0,0,0,0.3,6.14
