No.,Team,ShotsBlocked,CrossessBlocked,PassesBlocked,Rating
1.,France,2.9,1,6.9,6.90
2.,England,2.6,0.6,7,6.89
3.,Netherlands,3,2.2,8,6.73
4.,Brazil,2,0.8,9.4,6.72
5.,Argentina,1.7,1.9,9.6,6.71
6.,Germany,2.3,0.7,11.3,6.70
7.,Spain,1,0.5,5.3,6.69
8.,Portugal,2.4,0.8,6.2,6.67
9.,Cameroon,2,0.3,5.3,6.67
10.,Croatia,3.6,0.7,6.6,6.63
11.,Tunisia,3,1.3,10.7,6.60
12.,Poland,3.3,3.5,6.5,6.59
13.,Uruguay,2.7,2.7,10.3,6.59
14.,Belgium,2.7,1,8.3,6.58
15.,Morocco,2.3,1.7,8.4,6.53
16.,USA,1,0.5,10,6.53
17.,Ecuador,1.3,0.7,9.7,6.52
18.,Mexico,0.7,2.3,9.7,6.52
19.,Japan,4,1.3,10.5,6.51
20.,Denmark,5.3,0.7,9,6.50
21.,South-Korea,2,0.8,5.8,6.50
22.,Senegal,1.5,0.8,7,6.48
23.,Iran,2.7,1.3,9.7,6.47
24.,Ghana,4.7,1.3,7.7,6.45
25.,Australia,5,1,11,6.45
26.,Saudi-Arabia,4.3,2.3,9,6.42
27.,Serbia,3.3,1.3,10.3,6.42
28.,Switzerland,2.8,0.5,6,6.35
29.,Costa-Rica,4.7,2,9.3,6.26
30.,Wales,5,1.3,8.7,6.25
31.,Canada,1.7,0.7,7,6.21
32.,Qatar,1.3,0.7,5.7,6.14
,,,,,
