No.,Team,Yellow,Red,Rating
1.,France,1.1,0,6.90
2.,England,0.2,0,6.89
3.,Netherlands,1.8,0,6.73
4.,Brazil,1.2,0,6.72
5.,Argentina,1.7,0,6.71
6.,Germany,1,0,6.70
7.,Spain,0.5,0,6.69
8.,Portugal,1.2,0,6.67
9.,Cameroon,2,0.3,6.67
10.,Croatia,0.9,0,6.63
11.,Tunisia,1.7,0,6.60
12.,Poland,1.8,0,6.59
13.,Uruguay,2.7,0,6.59
14.,Belgium,1.7,0,6.58
15.,Morocco,1,0.1,6.53
16.,USA,1.3,0,6.53
17.,Ecuador,1,0,6.52
18.,Mexico,2.3,0,6.52
19.,Japan,1.5,0,6.51
20.,Denmark,1.7,0,6.50
21.,South-Korea,1.5,0,6.50
22.,Senegal,1.8,0,6.48
23.,Iran,2.3,0,6.47
24.,Ghana,2.7,0,6.45
25.,Australia,1.8,0,6.45
26.,Saudi-Arabia,4.7,0,6.42
27.,Serbia,4,0,6.42
28.,Switzerland,2.3,0,6.35
29.,Costa-Rica,2,0,6.26
30.,Wales,1.7,0.3,6.25
31.,Canada,2.7,0,6.21
32.,Qatar,2.3,0,6.14
,,,,
