No.,Team,Unsuccessful,Successful,Total-Dribbles,Rating
1.,France,10.4,8.7,19.1,6.90
2.,England,8.4,7.2,15.6,6.89
3.,Netherlands,7.8,3.4,11.2,6.73
4.,Brazil,14.2,5.8,20,6.72
5.,Argentina,9.7,6,15.7,6.71
6.,Germany,11,10.3,21.3,6.70
7.,Spain,12.5,5.3,17.8,6.69
8.,Portugal,7.2,5,12.2,6.67
9.,Cameroon,10.3,8,18.3,6.67
10.,Croatia,8.1,5.1,13.3,6.63
11.,Tunisia,9,6.3,15.3,6.60
12.,Poland,8.3,4.3,12.5,6.59
13.,Uruguay,8.3,3,11.3,6.59
14.,Belgium,8.7,6.3,15,6.58
15.,Morocco,10.7,7.1,17.9,6.53
16.,USA,9.8,6.8,16.5,6.53
17.,Ecuador,10,4.3,14.3,6.52
18.,Mexico,8,6.3,14.3,6.52
19.,Japan,7.5,4.5,12,6.51
20.,Denmark,12.3,3.3,15.7,6.50
21.,South-Korea,10.3,3.3,13.5,6.50
22.,Senegal,8.3,6.5,14.8,6.48
23.,Iran,7.7,3.7,11.3,6.47
24.,Ghana,10,9,19,6.45
25.,Australia,8.3,3.3,11.5,6.45
26.,Saudi-Arabia,10,4,14,6.42
27.,Serbia,6.3,3,9.3,6.42
28.,Switzerland,7.3,2,9.3,6.35
29.,Costa-Rica,6.7,5.7,12.3,6.26
30.,Wales,9,3,12,6.25
31.,Canada,17,10.3,27.3,6.21
32.,Qatar,8.7,5.3,14,6.14
,,,,,
