No.,Team,UnsuccessfulTouches,Dispossessed,Rating
1.,France,13.3,9.6,6.90
2.,England,11.8,5.8,6.89
3.,Netherlands,14.4,8.6,6.73
4.,Brazil,16.6,11.2,6.72
5.,Argentina,12.1,10.1,6.71
6.,Germany,14.7,13.7,6.70
7.,Spain,16,10,6.69
8.,Portugal,14.2,6,6.67
9.,Cameroon,13,8,6.67
10.,Croatia,14,8.9,6.63
11.,Tunisia,17.3,16.3,6.60
12.,Poland,14.3,7.5,6.59
13.,Uruguay,17,9,6.59
14.,Belgium,15.7,8,6.58
15.,Morocco,16.3,7.3,6.53
16.,USA,18.8,11.3,6.53
17.,Ecuador,21.7,8.3,6.52
18.,Mexico,16.7,10,6.52
19.,Japan,14.5,8.5,6.51
20.,Denmark,16.7,8.3,6.50
21.,South-Korea,11.8,6.5,6.50
22.,Senegal,15,11.3,6.48
23.,Iran,12.7,6.3,6.47
24.,Ghana,15.3,11.3,6.45
25.,Australia,15.3,9,6.45
26.,Saudi-Arabia,20,8,6.42
27.,Serbia,16.3,7.3,6.42
28.,Switzerland,13.8,10.8,6.35
29.,Costa-Rica,14.3,10.3,6.26
30.,Wales,15,7,6.25
31.,Canada,17.3,10,6.21
32.,Qatar,14.7,7.3,6.14
,,,,
