No.,Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1.,France,14,3.7,1.7,8.6,6.90
2.,England,12.6,3.6,1,8,6.89
3.,Netherlands,8.2,3,0.6,4.6,6.73
4.,Brazil,18,5.8,1.2,11,6.72
5.,Argentina,12.1,3.7,0.6,7.9,6.71
6.,Germany,23,7,2.7,13.3,6.70
7.,Spain,10.8,4,0.8,6,6.69
8.,Portugal,13.2,5.8,1.2,6.2,6.67
9.,Cameroon,9.3,2.3,1.3,5.7,6.67
10.,Croatia,10.1,4.6,0.6,5,6.63
11.,Tunisia,10.7,4,0,6.7,6.60
12.,Poland,7.8,1.5,0.8,5.5,6.59
13.,Uruguay,11,4.3,0.7,6,6.59
14.,Belgium,11.7,3.7,1.7,6.3,6.58
15.,Morocco,8.4,3.6,0.9,4,6.53
16.,USA,11.3,4,1.3,6,6.53
17.,Ecuador,10,3.7,0.7,5.7,6.52
18.,Mexico,13.7,7.7,1,5,6.52
19.,Japan,10,3.8,1,5.3,6.51
20.,Denmark,11.3,3.7,1.3,6.3,6.50
21.,South-Korea,12.5,5.3,1,6.3,6.50
22.,Senegal,13,5,0.5,7.5,6.48
23.,Iran,11,5.7,0.3,5,6.47
24.,Ghana,8.7,4,1.3,3.3,6.45
25.,Australia,6.5,2.8,0.5,3.3,6.45
26.,Saudi-Arabia,9.7,3.3,1,5.3,6.42
27.,Serbia,10.7,3,0.3,7.3,6.42
28.,Switzerland,9.3,3.3,1.3,4.8,6.35
29.,Costa-Rica,4,1.7,1,1.3,6.26
30.,Wales,8,4,0.7,3.3,6.25
31.,Canada,11.7,4,0.7,7,6.21
32.,Qatar,6.7,4,0,2.7,6.14
,,,,,,
