,PLAYER,MINS-PLAYED,GOALS-CONCEDED,XGOT-CONCEDED,GOALS-PREVENTED,GOALS-PREVENTED-RATE,SOT-FACED
0,WOJCIECH SZCZESNY,270,2,4.3,2.3,2.2,17
1,MOHAMMED AL OWAIS,270,4,6.0,2.0,1.5,16
2,ANDRIES NOPPERT,270,1,2.9,1.9,2.9,10
3,SHUICHI GONDA,270,2,3.6,1.6,1.8,14
4,AYMEN DAHMEN,270,1,2.4,1.4,2.4,7
5,THIBAUT COURTOIS,270,2,3.1,1.1,1.5,9
6,YANN SOMMER,180,1,2.1,1.1,2.1,10
7,DEVIS EPASSY,180,3,4.0,1.0,1.3,10
8,DOMINIK LIVAKOVIC,270,1,1.9,0.9,1.9,7
9,ALIREZA BEYRANVAND,110,1,1.8,0.8,1.8,4
10,MATT TURNER,270,0,0.7,0.7,0.0,4
11,KASPER SCHMEICHEL,270,3,3.7,0.7,1.2,10
12,MANUEL NEUER,270,5,5.7,0.7,1.1,13
13,YASSINE BOUNOU,180,0,0.6,0.6,0.0,1
14,ÉDOUARD MENDY,270,4,4.5,0.5,1.1,8
15,WAYNE HENNESSEY,176,1,1.5,0.5,1.5,5
16,MUNIR MOHAMEDI,90,0,0.3,0.3,0.0,3
17,SERGIO ROCHET,270,1,1.2,0.2,1.1,3
18,EDERSON,90,1,1.2,0.2,1.2,2
19,DIOGO COSTA,270,4,4.1,0.1,1.0,11
20,UNAI SIMÓN,270,3,3.0,0.0,1.0,7
21,ALISSON,180,0,0.0,0.0,0.0,0
22,HOSSEIN HOSSEINI,160,6,3.7,-2.3,0.6,10
23,DANNY WARD,93,5,3.4,-1.6,0.7,7
24,MILAN BORJAN,270,7,5.5,-1.5,0.8,13
25,KEYLOR NAVAS,270,10,8.6,-1.4,0.9,19
26,MESHAAL BARSHAM,180,5,3.7,-1.3,0.7,9
27,GUILLERMO OCHOA,270,3,2.0,-1.0,0.7,3
28,HERNÁN GALÍNDEZ,270,2,1.1,-0.9,0.5,3
29,HUGO LLORIS,180,2,1.2,-0.8,0.6,3
30,KIM SEUNG-GYU,270,4,3.3,-0.7,0.8,10
31,EMILIANO MARTÍNEZ,270,2,1.3,-0.7,0.7,3
32,SAAD AL SHEEB,90,1,0.5,-0.5,0.5,2
33,GREGOR KOBEL,90,2,1.5,-0.5,0.8,4
34,STEVE MANDANDA,90,1,0.6,-0.4,0.6,3
35,LAWRENCE ATI-ZIGI,270,6,5.7,-0.3,0.9,12
36,MATHEW RYAN,270,4,3.8,-0.2,0.9,12
37,VANJA MILINKOVIC-SAVIC,270,8,7.8,-0.2,1.0,23
38,JORDAN PICKFORD,270,1,0.9,-0.1,0.9,3
39,ANDRÉ ONANA,90,1,0.9,-0.1,0.9,3
